time,weight,g,-
369943,-0.109,[g],(0xc3bf)
370616,-0.031,[g],(0xc40f)
371289,0.984,[g],(0xc3dc)
371962,0.422,[g],(0xc3e8)
372635,0.531,[g],(0xc3c1)
373308,0.172,[g],(0xc3ab)
373981,-0.313,[g],(0xc3fa)
374654,-0.188,[g],(0xc3eb)
375327,0.594,[g],(0xc3a9)
376000,0.547,[g],(0xc3c1)
376673,1.125,[g],(0xc40e)
377347,0.250,[g],(0xc3dd)
378019,0.000,[g],(0xc3bd)
378692,-0.031,[g],(0xc3ac)
379365,0.547,[g],(0xc3df)
380039,-0.078,[g],(0xc405)
380711,0.531,[g],(0xc3df)
381384,-0.313,[g],(0xc3d8)
382057,-0.250,[g],(0xc3e4)
382731,0.031,[g],(0xc3d6)
383404,0.109,[g],(0xc3cb)
384076,0.547,[g],(0xc3d1)
384749,0.641,[g],(0xc3cf)
385423,0.281,[g],(0xc3be)
386096,0.000,[g],(0xc3e5)
386768,0.703,[g],(0xc3bf)
387441,0.031,[g],(0xc3a3)
388115,0.328,[g],(0xc3e2)
388788,0.500,[g],(0xc3fb)
389460,0.438,[g],(0xc3f4)
390133,0.203,[g],(0xc3e3)
390807,0.375,[g],(0xc3f5)
391480,0.938,[g],(0xc401)
392153,0.047,[g],(0xc3e9)
392826,0.594,[g],(0xc3dd)
393499,0.328,[g],(0xc3c7)
394172,0.078,[g],(0xc407)
394846,0.781,[g],(0xc3f0)
395518,0.828,[g],(0xc403)
396191,-0.078,[g],(0xc3f3)
396864,0.109,[g],(0xc3e8)
397538,0.266,[g],(0xc3ae)
398211,0.078,[g],(0xc3e3)
398883,0.531,[g],(0xc3bb)
399557,0.922,[g],(0xc3e9)
400230,0.563,[g],(0xc3e2)
400903,0.328,[g],(0xc3bb)
401575,0.266,[g],(0xc3ce)
402249,0.172,[g],(0xc409)
402922,0.078,[g],(0xc3c7)
403595,-0.422,[g],(0xc3cf)
404269,0.938,[g],(0xc3e0)
404941,-0.078,[g],(0xc3e2)
405614,0.703,[g],(0xc3d7)
406288,0.375,[g],(0xc3e3)
406961,-0.172,[g],(0xc3d7)
407633,-0.250,[g],(0xc3de)
408306,-0.391,[g],(0xc3e2)
408980,0.422,[g],(0xc3e8)
409653,0.531,[g],(0xc3c0)
410326,0.500,[g],(0xc3e6)
410999,0.813,[g],(0xc3fa)
411672,-0.594,[g],(0xc3ec)
412345,-0.188,[g],(0xc3f1)
413019,0.453,[g],(0xc3c0)
413691,0.109,[g],(0xc3f2)
414364,0.359,[g],(0xc3cf)
415038,0.531,[g],(0xc3de)
415711,0.328,[g],(0xc3d7)
416384,0.938,[g],(0xc3f9)
417056,0.375,[g],(0xc3dc)
417730,0.266,[g],(0xc3bd)
418403,0.109,[g],(0xc3d6)
419076,1.219,[g],(0xc3f8)
419749,0.734,[g],(0xc3e3)
420422,-0.016,[g],(0xc3e1)
421095,0.156,[g],(0xc3c3)
421769,0.641,[g],(0xc3fd)
422441,0.156,[g],(0xc437)
423114,0.047,[g],(0xc3dc)
423787,1.094,[g],(0xc3f0)
424461,0.156,[g],(0xc3c2)
425134,-0.031,[g],(0xc3ec)
425806,0.984,[g],(0xc3fb)
426480,0.219,[g],(0xc3fd)
427153,0.609,[g],(0xc3da)
427826,-0.078,[g],(0xc3f3)
428498,0.656,[g],(0xc3f2)
429172,-0.813,[g],(0xc3ce)
429845,-0.125,[g],(0xc3ea)
430518,0.031,[g],(0xc3f1)
431191,0.000,[g],(0xc40d)
431864,-0.359,[g],(0xc3d0)
432537,0.641,[g],(0xc3bb)
433210,0.563,[g],(0xc40a)
433884,1.125,[g],(0xc3e7)
434556,-0.359,[g],(0xc3da)
435229,0.844,[g],(0xc423)
435903,0.375,[g],(0xc3c9)
436576,-0.031,[g],(0xc3a5)
437249,0.531,[g],(0xc3d1)
437922,-0.109,[g],(0xc3e7)
438595,0.938,[g],(0xc3fe)
439268,-0.078,[g],(0xc3cd)
439942,0.594,[g],(0xc3d7)
440614,0.703,[g],(0xc3e2)
441287,0.500,[g],(0xc3e8)
441961,0.266,[g],(0xc3c7)
442634,0.156,[g],(0xc3de)
443307,0.563,[g],(0xc428)
443980,0.219,[g],(0xc3da)
444653,-0.359,[g],(0xc401)
445326,0.703,[g],(0xc3c1)
446000,0.141,[g],(0xc3c1)
446672,0.453,[g],(0xc3ae)
447345,0.484,[g],(0xc3bf)
448019,0.609,[g],(0xc3c3)
448692,0.359,[g],(0xc3d1)
449364,0.453,[g],(0xc3d1)
450038,0.531,[g],(0xc3e8)
450711,0.422,[g],(0xc3c7)
451384,0.219,[g],(0xc3d5)
452058,0.734,[g],(0xc411)
452730,0.328,[g],(0xc3a2)
453403,0.109,[g],(0xc3d1)
454077,0.891,[g],(0xc3d0)
454750,1.047,[g],(0xc3f5)
455422,0.172,[g],(0xc3c6)
456096,0.531,[g],(0xc3c3)
456769,0.781,[g],(0xc3ff)
457442,-0.063,[g],(0xc3cd)
458116,0.172,[g],(0xc3f9)
458788,0.547,[g],(0xc3da)
459461,-0.594,[g],(0xc3a0)
460135,-0.188,[g],(0xc3c9)
460808,0.047,[g],(0xc3f1)
461480,0.828,[g],(0xc3db)
462154,0.891,[g],(0xc408)
462827,0.922,[g],(0xc411)
463500,0.734,[g],(0xc3fb)
464174,0.844,[g],(0xc3da)
464846,1.172,[g],(0xc3cd)
465519,0.781,[g],(0xc3d6)
466193,0.547,[g],(0xc3cc)
466866,0.219,[g],(0xc3b3)
467538,0.594,[g],(0xc3eb)
468212,0.656,[g],(0xc41e)
468885,0.266,[g],(0xc3e5)
469558,1.203,[g],(0xc402)
470232,0.313,[g],(0xc3ca)
470904,-0.344,[g],(0xc3d1)
471577,0.266,[g],(0xc3e5)
472251,0.672,[g],(0xc3d7)
472924,1.203,[g],(0xc3ce)
473596,0.500,[g],(0xc3fe)
474270,0.781,[g],(0xc3f5)
474943,0.672,[g],(0xc3ef)
475616,0.531,[g],(0xc3f9)
476290,0.641,[g],(0xc3fd)
476962,0.453,[g],(0xc409)
477635,0.484,[g],(0xc3f3)
478309,0.828,[g],(0xc3e6)
478982,0.594,[g],(0xc3f3)
479654,1.156,[g],(0xc3ad)
480328,0.250,[g],(0xc3e0)
481001,-0.031,[g],(0xc3c1)
481675,0.641,[g],(0xc3f0)
482348,0.313,[g],(0xc3b7)
483020,0.328,[g],(0xc3d1)
483694,0.500,[g],(0xc3e7)
484367,0.609,[g],(0xc3fc)
485040,0.875,[g],(0xc3eb)
485713,0.547,[g],(0xc3ed)
486386,0.141,[g],(0xc3d7)
487059,-0.297,[g],(0xc3bb)
487733,0.484,[g],(0xc3f2)
488406,1.203,[g],(0xc3fe)
489078,0.891,[g],(0xc3d9)
489752,0.438,[g],(0xc3ee)
490425,1.234,[g],(0xc3cd)
491098,0.734,[g],(0xc3b9)
491771,1.391,[g],(0xc418)
492444,0.672,[g],(0xc3d4)
493118,-0.219,[g],(0xc3dd)
493791,0.359,[g],(0xc3fa)
494464,1.000,[g],(0xc410)
495137,1.094,[g],(0xc3ff)
495810,1.281,[g],(0xc3e6)
496483,1.313,[g],(0xc3fb)
